theta,omega
0.7850513275212763,-0.06685581264683402
0.7840360538346198,-0.13364139667555022
0.7823532767417595,-0.2003104435066844
0.7800043941126343,-0.2668165403519889
0.7769912686217593,-0.3331131248183483
0.7733162295321662,-0.39915344176139367
0.7689820748986008,-0.4648905029804354
0.7639920741583328,-0.5302770503330771
0.7583499710722046,-0.5952655228316867
0.752059986972988,-0.6598080282646631
0.7451268242727659,-0.7238563198630094
0.7375556701759438,-0.7873617785069557
0.7293522005396615,-0.8502754009381512
0.7205225838188407,-0.9125477944101116
0.7110734850289293,-0.97412917817308
0.7010120696556055,-1.0349693921491445
0.6903460074373344,-1.0950179131093032
0.6790834759437654,-1.1542238786161803
0.6672331638705559,-1.2125361189443098
0.6548042739693478,-1.269903197134423
0.6418065255303436,-1.3262734572791524
0.6282501563342638,-1.3815950810752442
0.6141459239904526,-1.4358161526120345
0.5995051065785559,-1.4888847312979858
0.5843395025125618,-1.5407489327569337
0.5686614295480747,-1.5913570174539018
0.5524837228565167,-1.6406574867374915
0.53581973209351,-1.688599185912622
0.5186833173930046,-1.7351314138845146
0.5010888442237548,-1.780204038843067
0.483051177050511,-1.8237676193869907
0.46458567174875093,-1.8657735304201535
0.44570816672889,-1.9061740930893627
0.42643497273364606,-1.9449227079742457
0.4067828612805318,-1.9819739906868188
0.3867690517302513,-2.017283908991645
0.36641119697101004,-2.050809920517976
0.34572736771834023,-2.08251111010373
0.3247360354398972,-2.112348325788229
0.3034560539247217,-2.140284312456944
0.2819066395265733,-2.166283842137485
0.26010735012103414,-2.1903138399521733
0.23807806282604518,-2.2123435047488953
0.21583895054526908,-2.2323444234587058
0.19341045740306692,-2.25029067826574
0.17081327314882577,-2.266158945722191
0.14806830661678122,-2.279928586998082
0.12519665833524574,-2.2915817285217557
0.10221959238619258,-2.3011033323417935
0.07915850762237227,-2.308481255623662
0.05603490835448258,-2.313706298783825
0.03287037462531137,-2.316772241859378
0.009686532191172607,-2.3176758688112526
-0.01349497766667937,-2.316416979562608
-0.03665252837666937,-2.312998389679807
-0.05976453823334059,-2.307425917710152
-0.08280950035224793,-2.299708360297003
-0.10576601230185194,-2.2898574552976827
-0.1286128052939072,-2.2778878332314876
-0.1513287728177853,-2.2638169574829026
-0.17389299860906532,-2.24766505377762
-0.19628478384850395,-2.2294550295351723
-0.21848367349409323,-2.209212383780893
-0.24046948165624296,-2.186965108370751
-0.26222231593410583,-2.1627435813445994
-0.2837226006395981,-2.136580453276043
-0.3049510988446645,-2.1085105275299765
-0.32588893319668916,-2.0785706353716806
-0.3465176054565666,-2.0467995068939944
-0.3668190147237138,-2.0132376387416007
-0.3867754743221267,-1.9779271596139754
-0.4063697273313673,-1.9409116945214024
-0.42558496075601104,-1.9022362287520178
-0.4444048183365078,-1.8619469724826778
-0.4628134120135227,-1.8200912269331442
-0.4807953320665566,-1.7767172529223472
-0.49833565595592577,-1.7318741426380906
-0.515419955904951,-1.6856116953783118
-0.5320343052664104,-1.637980297963735
-0.5481652837239069,-1.589030810459337
-0.5637999813847595,-1.538814457776313
-0.578926001826305,-1.487382727658061
-0.5935314641620998,-1.4347872754838866
-0.6076050041983989,-1.3810798362534804
-0.6211357747544898,-1.3263121440444363
-0.634113445222942,-1.270535859164879
-0.6465282004476428,-1.2138025031542352
-0.6583707389986102,-1.1561634017178912
-0.6696322709230479,-1.0976696356163986
-0.6803045150519472,-1.0383719994674303
-0.6903796959407784,-0.9783209683591978
-0.69985054052148,-0.9175666721177822
-0.7087102745410814,-0.8561588770180091
-0.7169526188599182,-0.7941469746782651
-0.7245717856795547,-0.7315799778340899
-0.7315624747672492,-0.6685065226435195
-0.7379198697401295,-0.604974877139008
-0.7436396344682098,-0.5410329554062562
-0.7487179096510299,-0.4767283370393699
-0.7531513096180477,-0.4121082913943491
-0.7569369193980207,-0.34721980613886805
-0.7600722920974868,-0.2821096195755207
-0.7625554466231398,-0.21682425619805645
-0.7643848657774189,-0.15141006492549053
-0.7655594947510238,-0.08591325944724171
-0.7660787400303488,-0.02037996010351746
-0.7659424687320427,0.04514376328104046
-0.7651510083710555,0.11061184819598306
-0.7637051470626667,0.17597819646241086
-0.7616061341531218,0.24119663205383493
-0.7588556812676681,0.30622086030101947
-0.7554559637589869,0.3710044290543416
-0.7514096225333207,0.4355006923675633
-0.7467197662259878,0.49966277725449915
-0.7413899736925169,0.5634435540547942
-0.735424296776333,0.6267956109267938
-0.7288272633088241,0.6896712329641876
-0.721603880292741,0.7520223864086272
-0.713759637215269,0.8138007084027452
-0.7053005094327863,0.8749575026968456
