theta,omega
0.7853981633974483,-0.06936717523440031
0.7847044916451043,-0.1386862157335942
0.7833176294877683,-0.20790892017975524
0.7812385402859707,-0.2769869548302754
0.778468670737668,-0.3458717891546303
0.7750099528461217,-0.4145146336850011
0.7708648065092717,-0.48286638080947336
0.7660361427011769,-0.5508775492284735
0.7605273672088921,-0.6184982327844666
0.7543423848810474,-0.6856780543615413
0.747485604337432,-0.7523661255350316
0.7399619430820817,-0.8185110126314099
0.7317768329557677,-0.8840607098349562
0.7229362258574181,-0.9489626199497639
0.7134465996579205,-1.013163543393086
0.7033149642239896,-1.0766096759584596
0.692548867464405,-1.1392466158441144
0.6811564013059639,-1.2010193803935172
0.6691462075020287,-1.2618724329402773
0.6565274831726259,-1.3217497200887913
0.6433099859717379,-1.3805947196948307
0.6295040387747897,-1.4383504997367231
0.6151205337774225,-1.4949597881879328
0.6001709358955432,-1.5503650539159044
0.5846672853563841,-1.6045085985403402
0.5686221993709807,-1.6573326590871287
0.5520488727801094,-1.7087795211725583
0.5349610775683838,-1.7587916423470582
0.5173731611449133,-1.8073117851194613
0.4993000432937187,-1.8542831590727948
0.48075721170299074,-1.8996495713721677
0.46176071598926904,-1.9433555848558128
0.44232716014071094,-1.9853466827933186
0.42247369331277773,-2.025569439292146
0.40221799891985627,-2.0639716942363875
0.3815782819774924,-2.100502731552107
0.3605732546619713,-2.13511345951327
0.3392221200668386,-2.167756591732895
0.31754455414950966,-2.1983868274273193
0.2955606858752365,-2.2269610294988573
0.2732910755802479,-2.253438398954995
0.25075669159069797,-2.2777806441718096
0.22797888514897988,-2.2999521435164056
0.2049793637138158,-2.319920099868493
0.18178016271513087,-2.3376546856251608
0.15840361585887924,-2.3531291768354126
0.13487232409052513,-2.366320075191821
0.11120912333860691,-2.37720721670509
0.08743705117155601,-2.3857738660023142
0.06357931251153287,-2.3920067953199915
0.03965924455833296,-2.3958963474066852
0.015700281084266108,-2.397436481705683
-0.008274083732790722,-2.3966248033528825
-0.03224033176631955,-2.3934625746970086
-0.05617495751328963,-2.387954709225561
-0.08005450460554524,-2.380109747957991
-0.10385560208512515,-2.3699398185447356
-0.1275550002705725,-2.3574605774842725
-0.15112960604541523,-2.342691136037668
-0.17455651740579192,-2.3256539705787067
-0.19781305711157898,-2.306374818265356
-0.22087680529423254,-2.28488255905298
-0.24372563088476235,-2.2612090851896105
-0.26633772173665843,-2.235389159437264
-0.28869161333103105,-2.207460263349639
-0.31076621596452747,-2.1774624370047677
-0.33254084033457515,-2.145438111640865
-0.3539952214509838,-2.1114319366747236
-0.375109540817731,-2.07549060259467
-0.3958644468436777,-2.037662661215008
-0.4162410734558278,-1.9979983447567962
-0.43622105690339574,-1.9565493851818383
-0.4557865507552141,-1.9133688351542608
-0.47492023910675674,-1.8685108919384064
-0.4936053480261408,-1.8220307254646642
-0.5118256552807875,-1.7739843117079275
-0.5295654983978668,-1.7244282724283733
-0.5468097811221505,-1.6734197222229357
-0.5635439783443799,-1.6210161237299032
-0.5797541395816789,-1.56727515172017
-0.5954268910988806,-1.5122545666983553
